"pc_armor_legs_default","Black Suit","A cheap space suit, graciously provided when buying the EX4000 starship."
"pc_armor_legs_tin","Tin Greaves","Offers low protection, but can still save your life."
"pc_armor_legs_copper","Copper Greaves","Offers low protection, but can still save your life."
"pc_armor_legs_bronze","Bronze Greaves","Made from an alloy of tin and copper, this bronze armor provides decent protection."
"pc_armor_legs_iron","Iron Greaves","This armor makes you feel really safe."
"pc_armor_legs_steel","Steel Greaves","This armor, although light, is incredibly tough."
"pc_armor_legs_silver","Silver Greaves","A beautiful silver armor decorated with luxurious details."
"pc_armor_legs_gold","Golden Greaves","A shiny golden armor!"
"pc_armor_legs_dark","Dark Greaves","A dark energy emanates from this armor."
"pc_armor_legs_dragon","Dragon Greaves","Crafted with scales from an infernal creature, this armor provides outstanding protection!"
"pc_armor_body_default","Black Suit","A cheap space suit, graciously provided when buying the EX4000 starship."
"pc_armor_body_tin","Tin Armor","Offers low protection, but can still save your life."
"pc_armor_body_copper","Copper Armor","Offers low protection, but can still save your life."
"pc_armor_body_bronze","Bronze Armor","Made from an alloy of tin and copper, this bronze armor provides decent protection."
"pc_armor_body_iron","Iron Armor","This armor makes you feel really safe."
"pc_armor_body_steel","Steel Armor","This armor, although light, is incredibly tough."
"pc_armor_body_silver","Silver Armor","A beautiful silver armor decorated with luxurious details."
"pc_armor_body_gold","Golden Armor","A shiny golden armor!"
"pc_armor_body_dark","Dark Armor","A dark energy emanates from this armor."
"pc_armor_body_dragon","Dragon Armor","Crafted with scales from an infernal creature, this armor provides an outstanding protection!"
"pc_armor_helmet_tin","Tin Helmet","Offers low protection, but can still save your life."
"pc_armor_helmet_copper","Copper Helmet","Offers low protection, but can still save your life."
"pc_armor_helmet_bronze","Bronze Helmet","Made from an alloy of tin and copper, this bronze helmet provides decent protection."
"pc_armor_helmet_iron","Iron Helmet","This helmet makes you feel really safe."
"pc_armor_helmet_steel","Steel Helmet","This helmet, although light, is incredibly tough."
"pc_armor_helmet_silver","Silver Helmet","A beautiful silver helmet decorated with luxurious details."
"pc_armor_helmet_silver2","Silver Helmet","A silver helmet shaped like a skull to frighten your enemies."
"pc_armor_helmet_gold","Golden Helmet","A shiny golden helmet."
"pc_armor_helmet_gold2","Tiger Helmet","A golden helmet inspired by an ancient predator from earth"
"pc_armor_helmet_dark","Dark Helmet","A dark energy emanates from this helmet."
"pc_armor_helmet_dragon","Dragon Helmet","Crafted with scales from an infernal creature, this helmet provides outstanding protection!"
"pc_armor_helmet_skull","Skull Helmet","A helmet made to frighten enemies."
"pc_armor_wizard_hat","Wizard's Hat","Every wizard's favourite hat !"
"pc_armor_chefs_hat","Chef's Hat","Every chef's favourite hat !"
"pc_shield_tin","Tin Shield","Offers low protection, but can still save your life."
"pc_shield_copper","Copper Shield","Offers low protection, but can still save your life."
"pc_shield_bronze","Bronze Shield","Made from an alloy of tin and copper, this bronze shield provides decent protection."
"pc_shield_iron","Iron Shield","This shield makes you feel really safe."
"pc_shield_steel","Steel Shield","This shield, although light, is incredibly tough."
"pc_shield_silver","Silver Shield","A beautiful silver shield decorated with luxurious details."
"pc_shield_gold","Golden Shield","Its brightness is on par with its toughness."
"pc_shield_dragon","Dragon Shield","Crafted with scales from an infernal creature, this armor provides outstanding protection!"
"pc_sword_wood","Wooden Sword","'It's dangerous to go alone, take this!'"
"pc_sword_tin","Rookie Sword","A simple sword, perfect for a rookie."
"pc_sword_copper","Forged Sword","A simple sword, perfect for a rookie."
"pc_sword_bronze","Bronze Sword","A heavy sword with a dull blade, made of an alloy of tin and copper."
"pc_sword_iron","Knight Sword","An authentic knight sword!"
"pc_sword_steel","Steel Sword","This weapon, although light, is extremely tough."
"pc_sword_silver","Silver Sword","Your attack speed will increase greatly using this silver sword!"
"pc_sword_leaf","Leaf Sword","A sword made of sharp leaves."
"pc_sword_gold","Royal Sword","A golden sword forged for a king."
"pc_sword_fire","Dragon Sword","A sword crafted from dragon scales."
"pc_sword_wild","Wild Sword","A savage and destructive sword."
"pc_sword_basic","Basic Sword","A simple sword, perfect for a rookie."
"pc_sword_copper2","Recruit's Sword","A simple sword, perfect for a rookie."
"pc_sword_protector","Protector's Sword","A blade dedicated to protect the weak and the oppressed."
"pc_sword_katana","Katana","This blade is as sharp as a razor."
"pc_sword_arcane","Arcane Sword","A powerful magic energy emanates from ths sword."
"pc_sword_shark","Shark Sword","A sword with a serrated blade."
"pc_sword_butcher","Butcher's Slicer","Slice through meat without subtility!"
"pc_sword_guardian","Guardian Sword","A sword made to protect the weak and the oppressed."
"pc_sword_green","Snake's Fang","A blade coated in poison."
"pc_sword_red_blade","Red Blade","The blood of your enemies accumulates on this flame-red blade."
"pc_sword_vorpal","Vorpal Sword","Watch your back, Jabberwock !"
"pc_sword_blackguard","Blackguard Sword","A dark blade of great quality."
"pc_sword_poison","Venom","A powerful blade coated with a deadly poison."
"pc_sword_burn","Blazing Sword","A blade that severely burns your enemies."
"pc_sword_shadow","Shadow","A blade that blinds your enemies."
"pc_sword_ice","Iceberg","A blade that freezes your enemies."
"pc_bow_debug","Bow","A basic bow."
"pc_bow_wood","Wooden Bow","A wooden bow."
"pc_bow_iron","Iron Bow","A bow with iron limbs."
"pc_bow_steel","Steel Bow","A steel bow, light and tough."
"pc_bow_silver","Silver Bow","A bow reinforced with silver plates."
"pc_bow_gold","Golden Bow","The gold covering this bow is dazzling!"
"pc_bow_dark","Dark Bow","A dark bow."
"pc_boomerang_wood","Wooden Boomerang","A wooden boomerang."
"pc_boomerang_steel","Steel Boomerang","The steel forming this boomerang turns it into a deadly weapon."
"pc_boomerang_gold","Gold Boomerang","A dazzling boomerang!"
"pc_boomerang_dark","Dark Boomerang","A dark boomerang."
"pc_arrow_wood","Wooden Arrow","A basic but efficient arrow."
"pc_arrow_iron","Iron Arrow","A sharp and tough arrow."
"pc_arrow_silver","Silver Arrow","An arrow made from pure silver."
"pc_arrow_gold","Golden Arrow","A dazzling arrow!"
"pc_arrow_dark","Dark Arrow","A dark arrow."
"pc_armor_zombi_mask","Mask","A zombie mask."
"pc_armor_scorpion_mask","Mask","A scorpion mask."
"pc_armor_crawler_mask","Mask","A crawler mask."
"pc_armor_eagle_mask","Mask","An eagle mask."
"pc_armor_creeping_mask","Mask","A creep mask."
"pc_armor_ghost_mask","Mask","A ghost mask."
"pc_armor_butcher_mask","Mask","A mask of the terrible Butcher."
"pc_armor_golem_mask","Mask","A golem mask."
"pc_armor_wood_mask","Mask","A wooden mask."
"pc_axe","Axe","Indispensable to gather wood."
"pc_spade_wood","Wooden Hoe","Allows to harvest plants without destroying blocks."
"pc_pickaxe_wood","Wooden Pickaxe","An improvised wooden pickaxe."
"pc_pickaxe_tin","Tin Pickaxe","A tin pickaxe."
"pc_pickaxe_copper","Copper Pickaxe","A copper pickaxe."
"pc_pickaxe_bronze","Bronze Pickaxe","A bronze pickaxe, from now on stone won't ever resist you!"
"pc_pickaxe_iron","Iron Pickaxe","A heavy but efficient pickaxe."
"pc_pickaxe_steel","Steel Pickaxe","Dig faster with this light and tough pickaxe!"
"pc_pickaxe_silver","Silver Pickaxe","Dig even faster thanks to the lightness of this finely-worked silver pickaxe!"
"pc_pickaxe_gold","Golden Pickaxe","Nothing resists this pickaxe decorated with a magnificent gem."
"pc_anvil_npc","Smith's Anvil","The essential tool for smiths!"
"pc_cauldron_npc","Chef's Cauldron","The essential tool for chefs!"
"pc_alchemy_table_npc","Wizard's Table","The essential tool for wizards!"
"pc_middleages_woodworking","Advanced Crafting Table","A wooden workbench, crafted like in the Middle Ages."
"pc_runic_table_craft","Runic Crafting Table","A runic table capable of merging runes."
"pc_middleages_forge","Furnace","A typical medieval furnace."
