"pc_armor_legs_default","블랙 슈트 하의","EX4000 우주선을 살 때 아낌없이 제공된 저렴한 우주복하의."
"pc_armor_legs_tin","주석 하의","주석으로 만든 낮은 보호를 제공하는 다리보호구, 간신히 생명을 구할 수는 있습니다."
"pc_armor_legs_copper","구리 하의","구리로 만든 낮은 보호를 제공하는 다리보호구, 생명을 구할 수는 있습니다."
"pc_armor_legs_bronze","청동 하의","주석과 구리의 합금으로 만들어진 이 청동 다리보호구는 적절한 보호를 제공합니다."
"pc_armor_legs_iron","철 하의","이 다리보호구는 정말 안전하다. 믿어봐"
"pc_armor_legs_steel","강철 하의","이 다리보호구는 가볍기는 하지만 엄청나게 질기다."
"pc_armor_legs_silver","순은 하의","화려한 디테일로 장식된 아름다운 은색 하의."
"pc_armor_legs_gold","황금 하의","반짝이는 황금 다리보호구!"
"pc_armor_legs_dark","암흑 하의","어두운 기운이 나는 갑옷 하의"
"pc_armor_legs_dragon","드래곤 하의","이 다리보호구는 드래곤의 비늘로 만들어져서 뛰어난 보호 기능을 제공합니다!"
"pc_armor_body_default","블랙 슈트 흉갑","EX4000 우주선을 살 때 아낌없이 제공된 저렴한 우주복상의."
"pc_armor_body_tin","주석 흉갑","주석으로 만든 낮은 보호를 제공하는 흉갑, 간신히 생명을 구할 수는 있습니다."
"pc_armor_body_copper","구리 흉갑","구리로 만든 낮은 보호를 제공하는 흉갑, 생명을 구할 수는 있습니다."
"pc_armor_body_bronze","청동 흉갑","주석과 구리의 합금으로 만들어진 이 청동 흉갑은 적절한 보호를 제공합니다."
"pc_armor_body_iron","철 흉갑","이 흉갑은 정말 안전하다. 믿어봐"
"pc_armor_body_steel","강철 흉갑","이 흉갑은 가볍기는 하지만 엄청나게 질기다."
"pc_armor_body_silver","순은 흉갑","화려한 디테일로 장식된 아름다운 은색 흉갑."
"pc_armor_body_gold","황금 흉갑","반짝이는 황금 흉갑!"
"pc_armor_body_dark","암흑 흉갑","어두운 기운이 나는 흉갑"
"pc_armor_body_dragon","드래곤 흉갑","이 흉갑은 드래곤의 비늘로 만들어져서 뛰어난 보호 기능을 제공합니다!"
"pc_armor_helmet_tin","주석 투구","주석으로 만든 낮은 보호를 제공하는 투구, 간신히 생명을 구할 수는 있습니다."
"pc_armor_helmet_copper","구리 투구","구리로 만든 낮은 보호를 제공하는 투구, 생명을 구할 수는 있습니다."
